lr,batch,dropout,hidden,val_mse
0.0005,128,0.0,"[32, 16]",117.2186508178711
0.001,64,0.0,"[64, 32]",127.19757080078125
0.001,64,0.0,"[32, 16]",129.684326171875
0.0005,64,0.0,"[64, 32]",138.78794860839844
0.001,128,0.0,"[64, 32]",160.0924072265625
0.001,128,0.0,"[32, 16]",163.01905822753906
0.0005,64,0.0,"[32, 16]",173.6758270263672
0.0005,128,0.0,"[64, 32]",199.251708984375
0.0005,128,0.2,"[64, 32]",306.6807556152344
0.0005,128,0.2,"[32, 16]",309.8911437988281
0.001,128,0.2,"[64, 32]",312.78436279296875
0.001,64,0.2,"[64, 32]",353.9802551269531
0.0005,64,0.2,"[32, 16]",375.1917724609375
0.0005,64,0.2,"[64, 32]",392.79888916015625
0.001,128,0.2,"[32, 16]",401.1680603027344
0.001,64,0.2,"[32, 16]",440.6621398925781
